Finished On,Title,Duration
06/26/2023,"Moment",28
06/26/2023,"Moment",28
06/26/2023,"Second Sight",317
06/26/2023,"Religious Origins of Free Will",364
06/26/2023,"Moment",124
06/26/2023,"What—and Where—Are You?",227
06/26/2023,"The Problem with Identities",288
06/26/2023,"Daily Meditation",1210
06/24/2023,"30-Minute Meditation 6",1811
06/24/2023,"Daily Meditation",1230
06/23/2023,"Moment",45
06/23/2023,"Self Timer",600
06/23/2023,"Daily Meditation",1210
06/22/2023,"Just Sitting",1800
06/22/2023,"Daily Meditation",1210
06/22/2023,"The Wrong Kind of Anger",159
06/22/2023,"Moment",36
06/21/2023,"Daily Meditation",624
06/21/2023,"Daily Meditation",1210
06/21/2023,"Signs of Mindfulness",324
06/20/2023,"Daily Meditation",620
06/20/2023,"Moment",31
06/20/2023,"Daily Meditation",610
06/20/2023,"Daily Meditation",1238
06/19/2023,"Easing into Effortlessness",1800
06/19/2023,"How Long Is Now?",375
06/19/2023,"Moment",78
06/19/2023,"45-Minute Meditation 4",2711
06/19/2023,"Moment",78
06/19/2023,"Daily Meditation",630
06/19/2023,"Daily Meditation",1228
06/18/2023,"Moment",34
06/17/2023,"Daily Meditation",1210
06/17/2023,"Rest",314
06/17/2023,"Pain vs. Suffering",537
06/17/2023,"The Problems with Self-Doubt",329
06/17/2023,"Daily Meditation",1220
06/16/2023,"Daily Meditation",1210
06/15/2023,"30-Minute Meditation 8",1817
06/15/2023,"Moment",31
06/15/2023,"Daily Meditation",1209
06/15/2023,"Deep Rest for Sleep",1405
06/14/2023,"30-Minute Meditation 8",1817
06/14/2023,"Daily Meditation",1210
06/14/2023,"An Expression of Infinity",136
06/14/2023,"Moment",62
06/14/2023,"Mindfulness and Physical Suffering",324
06/13/2023,"Daily Meditation",1210
06/13/2023,"30-Minute Meditation 4",1824
06/13/2023,"Trauma-Sensitive Mindfulness",163
06/13/2023,"Retracing Your Steps",165
06/13/2023,"Three Levels of Meditation",400
06/13/2023,"60-Minute Meditation 6",3632
06/13/2023,"Recognition and Freedom",57
06/13/2023,"Daily Meditation",1238
06/10/2023,"Daily Meditation",658
06/10/2023,"Introduction",212
06/09/2023,"Daily Meditation",1210
06/09/2023,"Moment",41
06/08/2023,"Daily Meditation",1236
06/07/2023,"30-minute Meditation 3",1809
06/07/2023,"Daily Meditation",1210
06/06/2023,"Moment",61
06/06/2023,"Daily Meditation",610
06/06/2023,"Daily Meditation",1210
06/05/2023,"30-minute Meditation 3",1809
06/05/2023,"Moment",38
06/05/2023,"Daily Meditation",1222
06/02/2023,"Moment",38
05/30/2023,"Daily Meditation",1244
05/28/2023,"Daily Meditation",1210
05/28/2023,"Daily Meditation",1210
05/28/2023,"Moment",32
05/28/2023,"Daily Meditation",1210
05/27/2023,"Daily Meditation",1244
05/25/2023,"Daily Meditation",1210
05/25/2023,"Deep Rest for Sleep",1405
05/24/2023,"Daily Meditation",720
05/24/2023,"The Past Cannot Be Found",232
05/24/2023,"Daily Meditation",1210
05/24/2023,"Moment",131
05/24/2023,"Daily Meditation",1210
05/24/2023,"The Flow of This",224
05/23/2023,"Self Timer",600
05/23/2023,"30-Minute Meditation 2",2057
05/23/2023,"Moment",81
05/23/2023,"Daily Meditation",1210
05/23/2023,"Moment",53
05/21/2023,"Moment",63
05/21/2023,"Daily Meditation",1209
05/21/2023,"Daily Meditation",610
05/20/2023,"Moment",35
05/20/2023,"Daily Meditation",1224
05/19/2023,"There Is No Future",257
05/19/2023,"Daily Meditation",1220
05/19/2023,"Moment",81
05/19/2023,"Moment",81
05/18/2023,"Moment",32
05/18/2023,"Daily Meditation",607
05/18/2023,"Daily Meditation",1254
05/17/2023,"Moment",26
05/17/2023,"Daily Meditation",1210
05/16/2023,"Moment",56
05/16/2023,"Moment",56
05/16/2023,"Self Timer",1800
05/16/2023,"Moment",56
05/16/2023,"Moment",29
05/16/2023,"Moment",29
05/16/2023,"Daily Meditation",1250
05/15/2023,"Moment",72
05/15/2023,"Self Timer",600
05/15/2023,"30-Minute Meditation 1",1810
05/15/2023,"The Flow of This",224
05/15/2023,"Moment",53
05/15/2023,"Self Timer",1500
05/15/2023,"Daily Meditation",1210
05/15/2023,"Moment",88
05/15/2023,"Moment",55
05/14/2023,"Moment",55
05/14/2023,"Daily Meditation",1207
05/14/2023,"Moment",50
05/14/2023,"Daily Meditation",1207
05/13/2023,"Predictably Irrational",1104
05/13/2023,"Giving In to Feel Good",794
05/13/2023,"Costs of Procrastination",632
05/13/2023,"Moment",48
05/12/2023,"Daily Meditation",610
05/12/2023,"Daily Meditation",1213
05/12/2023,"Daily Meditation",1213
05/12/2023,"Deep Rest for Sleep",1405
05/11/2023,"Self Timer",900
05/11/2023,"Daily Meditation",1220
05/11/2023,"Awareness Is Already Present",1800
05/11/2023,"Moment",75
05/11/2023,"Moment",45
05/11/2023,"Daily Meditation",1220
05/11/2023,"Moment",88
05/10/2023,"Name It to Tame It",524
05/10/2023,"Daily Meditation",1210
05/09/2023,"Daily Meditation",1261
05/09/2023,"Daily Meditation",1222
05/09/2023,"Daily Meditation",1210
05/09/2023,"Daily Meditation",1222
05/08/2023,"Daily Meditation",610
05/08/2023,"Self Timer",1800
05/08/2023,"Moment",62
05/08/2023,"Daily Meditation",1210
05/08/2023,"Self Timer",1800
05/07/2023,"60-Minute Meditation 5",3652
05/07/2023,"Centerless Awareness",554
05/07/2023,"Daily Meditation",1223
05/07/2023,"Daily Meditation",1261
05/07/2023,"Daily Meditation",1261
05/07/2023,"Moment",60
05/06/2023,"Daily Meditation",1210
05/06/2023,"Daily Meditation",1241
05/06/2023,"Consciousness",337
05/06/2023,"You Can't Get There From Here",427
05/06/2023,"Self Timer",600
05/06/2023,"Daily Meditation",1241
05/05/2023,"Daily Meditation",610
05/05/2023,"Self Timer",1200
05/05/2023,"Self Timer",900
05/05/2023,"Daily Meditation",1209
05/04/2023,"Self Timer",1200
05/04/2023,"Moment",77
05/03/2023,"Self Timer",1200
05/03/2023,"Self Timer",1800
05/03/2023,"Moment",44
05/03/2023,"Moment",44
05/03/2023,"Self Timer",900
05/03/2023,"Daily Meditation",1220
05/02/2023,"Self Timer",1320
05/02/2023,"Daily Meditation",1210
05/02/2023,"Daily Meditation",611
05/02/2023,"Moment",48
05/02/2023,"Moment",52
05/02/2023,"Self Timer",600
05/02/2023,"Daily Meditation",1210
05/01/2023,"Daily Meditation",1228
05/01/2023,"Daily Meditation",1202
05/01/2023,"Moment",45
05/01/2023,"Moment",45
05/01/2023,"30-Minute Meditation 6",1811
05/01/2023,"Daily Meditation",1210
05/01/2023,"Daily Meditation",1223
04/29/2023,"Walking in Public",1228
04/28/2023,"Daily Meditation",1210
04/28/2023,"Moment",49
04/28/2023,"Simply Being",1800
04/28/2023,"Daily Meditation",610
04/27/2023,"Daily Meditation",1210
04/27/2023,"Daily Meditation",1210
04/27/2023,"Moment",31
04/27/2023,"Moment",60
04/26/2023,"Daily Meditation",1210
04/26/2023,"Daily Meditation",1210
04/26/2023,"Daily Meditation",1210
04/25/2023,"Daily Meditation",1228
04/25/2023,"Allowing the Moment to Be As It Is",315
04/25/2023,"Moment",42
04/25/2023,"30-Minute Meditation 1",1810
04/25/2023,"Moment",70
04/25/2023,"The Context of All Experience",1800
04/25/2023,"Daily Meditation",1228
04/24/2023,"Daily Meditation",647
04/24/2023,"Mindfulness & Meaning",729
04/24/2023,"The Necessity of Thought",210
04/24/2023,"Daily Meditation",627
04/24/2023,"Moment",28
04/24/2023,"Moment",28
04/24/2023,"Consciousness at Ease",1800
04/24/2023,"Daily Meditation",610
04/24/2023,"Daily Meditation",1228
04/23/2023,"Daily Meditation",1210
04/23/2023,"Daily Meditation",1225
04/23/2023,"Moment",34
04/23/2023,"Daily Meditation",610
04/22/2023,"Self Timer",1800
04/22/2023,"Moment",31
04/22/2023,"Moment",81
04/22/2023,"Moment",81
04/21/2023,"Daily Meditation",610
04/21/2023,"Daily Meditation",1210
04/21/2023,"Moment",107
04/21/2023,"Moment",107
04/21/2023,"Moment",119
04/21/2023,"The Veil of Thought",120
04/21/2023,"Solving Problems",301
04/21/2023,"Exploring the I-Thought",668
04/21/2023,"30-Minute Meditation 9",1812
04/21/2023,"Moment",42
04/21/2023,"Moment",45
04/21/2023,"Moment",68
04/20/2023,"The Freedom of Non-Interference",1800
04/20/2023,"Moment",64
04/20/2023,"Moment",64
04/20/2023,"Daily Meditation",1210
04/20/2023,"Daily Meditation",1231
04/19/2023,"Being With What Is (Annaka Harris)",1045
04/19/2023,"Consciousness",337
04/19/2023,"Moment",73
04/19/2023,"Moment",73
04/19/2023,"Daily Meditation",1210
04/19/2023,"A State of Non-Distraction",1800
04/19/2023,"What Is Your Tongue Doing Now?",300
04/17/2023,"This Person Could Die Tonight",282
04/17/2023,"Moment",131
04/17/2023,"45-Minute Meditation 7",2711
04/17/2023,"The Path to Awakening",2998
04/17/2023,"Moment",50
04/17/2023,"Daily Meditation",620
04/16/2023,"Daily Meditation",1210
04/15/2023,"Daily Meditation",610
04/15/2023,"Relaxing the Nervous System",942
04/14/2023,"Daily Meditation",626
04/14/2023,"Self Timer",300
04/14/2023,"There Is No Future",257
04/14/2023,"Moment",50
04/14/2023,"Daily Meditation",1206
04/13/2023,"Self Timer",1200
04/13/2023,"Moment",77
04/13/2023,"From Doing to Non-Doing",1800
04/13/2023,"Daily Meditation",1210
04/12/2023,"Daily Meditation",630
04/12/2023,"30-Minute Meditation 4",1825
04/12/2023,"Moment",61
04/12/2023,"Daily Meditation",1210
04/11/2023,"Daily Meditation",1231
04/11/2023,"Daily Meditation",651
04/11/2023,"Moment",32
04/11/2023,"Course 222046",2711
04/11/2023,"Daily Meditation",1231
04/11/2023,"Moment",87
04/10/2023,"Course 89F60F",1820
04/10/2023,"Moment",48
04/10/2023,"Moment",48
04/10/2023,"Moment",48
04/10/2023,"Daily Meditation",1230
04/10/2023,"Moment",46
04/10/2023,"Moment",46
04/10/2023,"Moment",46
04/10/2023,"Daily Meditation",1211
04/09/2023,"Deep Rest for Awakening",758
04/09/2023,"Moment",12
04/09/2023,"Moment",12
04/08/2023,"Daily Meditation",610
04/08/2023,"Moment",79
04/08/2023,"Moment",79
04/07/2023,"Moment",57
04/07/2023,"Exploring the I-Thought",668
04/07/2023,"A State of Allowing",1800
04/06/2023,"Moment",75
04/06/2023,"Daily Meditation",1210
04/06/2023,"Moment",57
04/06/2023,"Moment",50
04/05/2023,"Walking in Public",1228
04/05/2023,"Daily Meditation",627
04/05/2023,"Daily Meditation",1224
04/05/2023,"Moment",61
04/05/2023,"Moment",53
04/05/2023,"Daily Meditation",1210
04/05/2023,"Daily Meditation",1150
04/04/2023,"Daily Meditation",1150
04/04/2023,"Being Here Now",347
04/04/2023,"Being Here Now",347
04/04/2023,"Being Here Now",347
04/04/2023,"Exploring the I-Thought",668
04/04/2023,"The Foundation of Being",1800
04/04/2023,"Daily Meditation",1150
04/03/2023,"Daily Meditation",1150
04/03/2023,"Moment",60
04/03/2023,"Daily Meditation",1150
04/03/2023,"Daily Meditation",1150
04/03/2023,"Resting as Awareness",888
04/01/2023,"Daily Meditation",1150
03/31/2023,"Moment",62
03/30/2023,"Daily Meditation",1150
03/30/2023,"Daily Meditation",1150
03/30/2023,"Daily Meditation",1150
03/29/2023,"Moment",51
03/29/2023,"Moment",51
03/28/2023,"Moment",48
03/27/2023,"Moment",45
03/27/2023,"Daily Meditation",1150
03/25/2023,"Moment",41
03/24/2023,"Daily Meditation",1150
03/23/2023,"Making Peace with Anxiety",533
03/23/2023,"Introduction to Part 2",60
03/23/2023,"Working With Behavior",617
03/23/2023,"Moment",131
03/23/2023,"Moment",131
03/23/2023,"Sweeping the Floor",267
03/22/2023,"Daily Meditation",1150
03/22/2023,"Daily Meditation",1150
03/22/2023,"Pure Perception",1003
03/21/2023,"Daily Meditation",1150
03/21/2023,"Sweeping the Floor",267
03/21/2023,"Eyewitness",445
03/20/2023,"Daily Meditation",1150
03/20/2023,"Daily Meditation",1150
03/20/2023,"Daily Meditation",1150
03/19/2023,"Daily Meditation",1150
03/19/2023,"Daily Meditation",1150
03/19/2023,"Daily Meditation",1150
03/19/2023,"Eyewitness",445
03/19/2023,"Daily Meditation",1150
03/19/2023,"Daily Meditation",1150
03/18/2023,"Daily Meditation",1150
03/18/2023,"Moment",66
03/17/2023,"Daily Meditation",1150
03/16/2023,"Moment",35
03/15/2023,"Do We Ever Really Know a Person?",442
03/15/2023,"Crossing the River",529
03/15/2023,"Eyewitness",445
03/15/2023,"Heaven and Hell in Thailand",503
03/15/2023,"Daily Meditation",1150
03/14/2023,"Daily Meditation",1150
03/14/2023,"Moment",48
03/13/2023,"Moment",55
03/12/2023,"Moment",72
03/11/2023,"Daily Meditation",1150
03/11/2023,"Moment",29
03/11/2023,"Daily Meditation",1150
03/05/2023,"Moment",63
03/02/2023,"Daily Meditation",1150
03/02/2023,"Moment",93
02/28/2023,"Moment",57
02/28/2023,"Daily Meditation",1150
02/28/2023,"Self Timer",1800
02/27/2023,"Daily Meditation",1209
02/27/2023,"Self Timer",1500
02/26/2023,"Working with Distress",465
02/26/2023,"Daily Meditation",1200
02/25/2023,"Mindful Action",482
02/25/2023,"Thoughts Support Mindful Presence",516
02/25/2023,"Thoughts Support Mindful Presence",516
02/25/2023,"Self Timer",1500
02/25/2023,"Self Timer",1800
02/25/2023,"Self Timer",1200
02/25/2023,"Moment",47
02/24/2023,"Self Timer",900
02/24/2023,"Self Timer",780
02/24/2023,"Daily Meditation",1204
02/24/2023,"Self Timer",1200
02/23/2023,"Self Timer",1800
02/23/2023,"The Flow of This",224
02/23/2023,"Self Timer",1800
02/23/2023,"Self Timer",1800
02/22/2023,"Self Timer",300
02/22/2023,"Moment",38
02/22/2023,"Self Timer",840
02/22/2023,"Daily Meditation",1208
02/21/2023,"Self Timer",1200
02/21/2023,"Self Timer",1800
02/21/2023,"Daily Meditation",658
02/20/2023,"Self Timer",840
02/20/2023,"Moment",31
02/20/2023,"Daily Meditation",634
02/20/2023,"Self Timer",1500
02/20/2023,"Daily Meditation",698
02/20/2023,"Self Timer",1320
02/20/2023,"Daily Meditation",1223
02/17/2023,"Daily Meditation",1225
02/17/2023,"Daily Meditation",1225
02/16/2023,"Inquiry Into Self",1800
02/16/2023,"Exploring the I-Thought",668
02/16/2023,"Daily Meditation",1235
02/16/2023,"Daily Meditation",1235
02/15/2023,"Daily Meditation",1210
02/15/2023,"Moment",48
02/14/2023,"Easing into Effortlessness",1800
02/14/2023,"Moment",80
02/14/2023,"30-Minute Meditation 4",1825
02/14/2023,"Daily Meditation",1189
02/14/2023,"Daily Meditation",1189
02/13/2023,"Self Timer",1800
02/13/2023,"Daily Meditation",634
02/12/2023,"Daily Meditation",1205
02/11/2023,"Daily Meditation",1218
02/11/2023,"Self Timer",1500
02/10/2023,"Getting Lost in Books",501
02/10/2023,"Hitchhiking and Riding the Rails",489
02/10/2023,"Philosophy of the Unknowable",554
02/10/2023,"Getting Lost",584
02/10/2023,"The Cloud of Unknowing",561
02/10/2023,"Daily Meditation",1212
02/09/2023,"Daily Meditation",1211
02/08/2023,"Daily Meditation",605
02/08/2023,"Self Timer",1800
02/07/2023,"Daily Meditation",1218
02/07/2023,"Moment",72
02/07/2023,"Self Timer",1800
02/07/2023,"Moment",31
02/07/2023,"Moment",72
02/07/2023,"Self Timer",1440
02/07/2023,"Self Timer",1800
02/07/2023,"Daily Meditation",1206
02/06/2023,"Safety In the Body",668
02/06/2023,"Daily Meditation",1234
02/06/2023,"Daily Meditation",1206
02/06/2023,"Relaxing the Nervous System",942
02/05/2023,"Daily Meditation",1234
02/04/2023,"Daily Meditation",634
02/04/2023,"Daily Meditation",1218
02/03/2023,"Course 236",599
02/02/2023,"Addressing Core Beliefs",507
02/02/2023,"Working with Thoughts",510
02/02/2023,"Daily Meditation",1218
02/02/2023,"Daily Meditation",1218
02/02/2023,"Finding Leverage",500
02/02/2023,"Daily Meditation",1218
02/01/2023,"Daily Meditation",611
02/01/2023,"Fundamentals of Mindful CBT",573
02/01/2023,"Introduction",396
02/01/2023,"Daily Meditation",1215
02/01/2023,"Daily Meditation",1217
02/01/2023,"Moment",124
02/01/2023,"Daily Meditation",1207
02/01/2023,"Daily Meditation",1217
01/31/2023,"Daily Meditation",1207
01/31/2023,"Daily Meditation",1204
01/31/2023,"The Mystery of Being",1800
01/31/2023,"The Mystery of Being",1800
01/30/2023,"30-Minute Meditation 7",1820
01/30/2023,"Moment",42
01/30/2023,"Daily Meditation",610
01/30/2023,"Daily Meditation",603
01/30/2023,"Daily Meditation",1207
01/29/2023,"30-minute Meditation 3",1809
01/29/2023,"Daily Meditation",1206
01/28/2023,"Daily Meditation",1221
01/27/2023,"Daily Meditation",1204
01/27/2023,"Daily Meditation",1150
01/27/2023,"Moment",124
01/27/2023,"Daily Meditation",1223
01/27/2023,"Daily Meditation",1244
01/26/2023,"Moment",50
01/26/2023,"Daily Meditation",1201
01/25/2023,"Daily Meditation",1225
01/25/2023,"Moment",68
01/25/2023,"Daily Meditation",1215
01/25/2023,"Self Timer",600
01/25/2023,"Self Timer",600
01/25/2023,"30-Minute Meditation 1",1810
01/25/2023,"Daily Meditation",1204
01/25/2023,"Daily Meditation",1215
01/24/2023,"Moment",67
01/24/2023,"Daily Meditation",1220
01/24/2023,"A State of Allowing",1800
01/24/2023,"Daily Meditation",614
01/24/2023,"Inseparable from the Moment",174
01/24/2023,"How Long Is Now?",375
01/24/2023,"Daily Meditation",1204
01/24/2023,"Daily Meditation",1226
01/23/2023,"30-Minute Meditation 6",1811
01/23/2023,"Daily Meditation",1202
01/23/2023,"Daily Meditation",1225
01/23/2023,"Daily Meditation",1209
01/22/2023,"Daily Meditation",1221
01/22/2023,"Daily Meditation",1207
01/22/2023,"Daily Meditation",1214
01/22/2023,"Daily Meditation",1214
01/21/2023,"Daily Meditation",608
01/21/2023,"Moment",45
01/21/2023,"The Past Cannot Be Found",232
01/21/2023,"Daily Meditation",1218
01/21/2023,"Daily Meditation",1210
01/21/2023,"Daily Meditation",1219
01/20/2023,"Meditation 20",735
01/20/2023,"The Three Commitments",1800
01/20/2023,"Daily Meditation",1210
01/20/2023,"Daily Meditation",602
01/19/2023,"Safety In the Body",668
01/19/2023,"Daily Meditation",1204
01/19/2023,"Daily Meditation",1204
01/19/2023,"Being Here Now",347
01/19/2023,"The Flow of This",224
01/19/2023,"Daily Meditation",1214
01/18/2023,"Daily Meditation",611
01/18/2023,"Daily Meditation",1223
01/18/2023,"Moment",130
01/17/2023,"Introduction",205
01/17/2023,"Always Being, Always Becoming",314
01/17/2023,"Daily Meditation",1208
01/17/2023,"Daily Meditation",1206
01/17/2023,"Moment",60
01/17/2023,"Daily Meditation",1208
01/17/2023,"30-minute Meditation 3",1805
01/17/2023,"Relaxing the Nervous System",939
01/17/2023,"Daily Meditation",1208
01/17/2023,"Moment",53
01/15/2023,"Daily Meditation",1245
01/14/2023,"The Astonishing Nature of Everything",493
01/14/2023,"Daily Meditation",1234
01/13/2023,"Daily Meditation",1211
01/13/2023,"Daily Meditation",1211
01/12/2023,"Letting Go of Tension",1218
01/12/2023,"Dissolving as Space",1265
01/12/2023,"Dissolving as Space",1265
01/12/2023,"Dissolving as Space",1265
01/12/2023,"Daily Meditation",1214
01/12/2023,"Allowing the Moment to Be As It Is",314
01/12/2023,"The Ever-Changing Nature of Now",347
01/12/2023,"Daily Meditation",1219
01/12/2023,"The Flow of This",223
01/12/2023,"Total Spontaneity",1800
01/12/2023,"Daily Meditation",1219
01/12/2023,"Moment",60
01/12/2023,"Daily Meditation",1220
01/12/2023,"Daily Meditation",1219
01/11/2023,"There Is No Future",256
01/11/2023,"Inseparable from the Moment",174
01/11/2023,"How Long Is Now?",374
01/11/2023,"The Past Cannot Be Found",232
01/11/2023,"Attention vs. Awareness",802
01/11/2023,"Daily Meditation",1204
01/11/2023,"Daily Meditation",1204
01/11/2023,"Moment",44
01/10/2023,"Being Here Now",346
01/10/2023,"Daily Meditation",1203
01/10/2023,"The Flow of This",223
01/10/2023,"Moment",42
01/10/2023,"Sitting Meditation 2",1833
01/10/2023,"Daily Meditation",609
01/10/2023,"Moment",38
01/10/2023,"Daily Meditation",1220
01/10/2023,"Daily Meditation",1203
01/09/2023,"Daily Meditation",1206
01/09/2023,"Daily Meditation",610
01/09/2023,"Moment",73
01/09/2023,"Daily Meditation",1204
01/09/2023,"Daily Meditation",1206
01/09/2023,"The Flow of This",223
01/08/2023,"Introduction",205
01/08/2023,"Daily Meditation",1207
01/08/2023,"Moment",28
01/07/2023,"Daily Meditation",1202
01/07/2023,"Daily Meditation",1202
01/07/2023,"Moment",45
01/06/2023,"Daily Meditation",634
01/06/2023,"Self Timer",600
01/06/2023,"Daily Meditation",1204
01/06/2023,"Daily Meditation",1204
01/06/2023,"Daily Meditation",646
01/06/2023,"Moment",55
01/06/2023,"Daily Meditation",1207
01/06/2023,"Moment",44
01/06/2023,"Daily Meditation",1236
01/05/2023,"Daily Meditation",1220
01/05/2023,"30-Minute Meditation 6",1807
01/05/2023,"Moment",54
01/05/2023,"Moment",54
01/05/2023,"Moment",54
01/05/2023,"Moment",124
01/05/2023,"Moment",72
01/05/2023,"30-Minute Meditation 4",1820
01/05/2023,"Sitting Meditation 2",1833
01/05/2023,"Daily Meditation",1217
01/05/2023,"Moment",68
01/04/2023,"Daily Meditation",1204
01/03/2023,"Daily Meditation",1244
01/02/2023,"Daily Meditation",1225
01/02/2023,"Boundaries",380
01/02/2023,"Moment",28
01/02/2023,"Daily Meditation",1204
01/02/2023,"Moment",38
01/02/2023,"Daily Meditation",1218
01/01/2023,"The Wisdom of Impermanence",3662
01/01/2023,"Daily Meditation",1204
01/01/2023,"Moment",55
01/01/2023,"Moment",31
12/31/2022,"The Map of Wisdom — Part 2",3981
12/31/2022,"Daily Meditation",1204
12/31/2022,"Moment",48
12/30/2022,"A State of Allowing",1800
12/30/2022,"Daily Meditation",1203
12/30/2022,"Moment",52
12/29/2022,"Daily Meditation",1204
12/29/2022,"Moment",56
12/29/2022,"Daily Meditation",1214
12/28/2022,"Moment",51
12/28/2022,"45-Minute Meditation 2",2715
12/28/2022,"Daily Meditation",1204
12/27/2022,"Sitting Meditation 2",1833
12/27/2022,"Daily Meditation",604
12/27/2022,"From Doing to Non-Doing",1800
12/27/2022,"Moment",41
12/27/2022,"Daily Meditation",1213
12/26/2022,"Inquiry Into Self",1800
12/26/2022,"60-Minute Meditation 4",3615
12/26/2022,"Daily Meditation",1212
12/26/2022,"Moment",49
12/25/2022,"30-Minute Meditation 6",1807
12/25/2022,"Daily Meditation",1212
12/25/2022,"Moment",52
12/23/2022,"Daily Meditation",1216
12/22/2022,"Moment",130
12/21/2022,"Moment",76
12/21/2022,"Moment",76
12/21/2022,"Introduction and Background",235
12/21/2022,"Daily Meditation",1201
12/20/2022,"Stillness Within the Noise",1800
12/20/2022,"Daily Meditation",1204
12/20/2022,"30-Minute Meditation 7",1816
12/20/2022,"Moment",70
12/20/2022,"The Stoic Take on Social Media",890
12/20/2022,"Moment",124
12/20/2022,"Moment",124
12/20/2022,"30-minute Meditation 3",1805
12/20/2022,"Daily Meditation",1202
12/19/2022,"45-Minute Meditation 9",2699
12/19/2022,"Daily Meditation",1218
12/19/2022,"Moment",54
12/19/2022,"Inquiry Into Self",1800
12/19/2022,"Daily Meditation",1225
12/19/2022,"Daily Meditation",1215
12/19/2022,"Moment",44
12/18/2022,"Mindfulness of Breathing",1533
12/18/2022,"The Foundation of Being",1800
12/18/2022,"Daily Meditation",1203
12/17/2022,"Constellations of Thought",2407
12/17/2022,"Daily Meditation",1204
12/17/2022,"Daily Meditation",1200
12/17/2022,"Moment",29
12/16/2022,"Moment",78
12/15/2022,"Moment",78
12/15/2022,"Daily Meditation",1220
12/15/2022,"Moment",57
12/15/2022,"Daily Meditation",1209
12/15/2022,"The Foundation of Being",1800
12/15/2022,"Moment",59
12/14/2022,"We Have Not Been Here Before",222
12/14/2022,"Daily Meditation",1202
12/13/2022,"Daily Meditation",1227
12/13/2022,"Daily Meditation",1227
12/13/2022,"Moment",45
12/12/2022,"Daily Meditation",1225
12/12/2022,"Daily Meditation",1198
12/12/2022,"Moment",53
12/11/2022,"Daily Meditation",1220
12/11/2022,"Daily Meditation",1220
12/11/2022,"Moment",31
12/10/2022,"Just Sitting",1800
12/10/2022,"Daily Meditation",1202
12/10/2022,"Moment",46
12/09/2022,"Moment",57
12/09/2022,"Daily Meditation",1210
12/09/2022,"Moment",35
12/08/2022,"Total Spontaneity",1800
12/08/2022,"Moment",34
12/08/2022,"The Mystery of Being",1800
12/08/2022,"Daily Meditation",1189
12/08/2022,"Moment",87
12/07/2022,"Daily Meditation",1204
12/07/2022,"Moment",57
12/07/2022,"Moment",44
12/07/2022,"Moment",44
12/07/2022,"Moment",44
12/07/2022,"Moment",44
12/07/2022,"Daily Meditation",611
12/07/2022,"Daily Meditation",1212
12/07/2022,"Moment",80
12/07/2022,"Moment",80
12/07/2022,"Embodied Witnessing",1235
12/06/2022,"The Foundation of Being",1800
12/06/2022,"Daily Meditation",1205
12/06/2022,"30-Minute Meditation 2",2052
12/06/2022,"Moment",12
12/06/2022,"Moment",94
12/06/2022,"Sitting Meditation 2",1833
12/05/2022,"Moment",60
12/05/2022,"Self Timer",900
12/05/2022,"Moment",60
12/05/2022,"Moment",70
12/05/2022,"Total Spontaneity",1800
12/05/2022,"Moment",63
12/04/2022,"Daily Meditation",1204
12/04/2022,"Daily Meditation",1212
12/04/2022,"Daily Meditation",1212
12/04/2022,"Moment",64
12/03/2022,"Moment",50
12/03/2022,"Just Sitting",1800
12/03/2022,"No Idea",1800
12/03/2022,"Daily Meditation",1211
12/03/2022,"Moment",32
12/03/2022,"Self Timer",1800
12/03/2022,"Inquiry Into Self",1800
12/03/2022,"Stillness Within the Noise",1800
12/03/2022,"Stillness Within the Noise",1800
12/03/2022,"Stillness Within the Noise",1800
12/02/2022,"Daily Meditation",1225
12/02/2022,"Moment",34
12/01/2022,"Easing into Effortlessness",1800
12/01/2022,"Moment",93
12/01/2022,"Daily Meditation",611
12/01/2022,"Sitting Meditation 2",1833
12/01/2022,"Daily Meditation",1225
12/01/2022,"Moment",50
11/30/2022,"The Foundation of Being",1800
11/30/2022,"No Distractions",249
11/30/2022,"Daily Meditation",1214
11/30/2022,"Moment",53
11/30/2022,"Moment",80
11/29/2022,"The Cure for Boredom",298
11/29/2022,"No Distractions",249
11/29/2022,"Daily Meditation",611
11/29/2022,"Moment",53
11/29/2022,"45-Minute Meditation 8",2709
11/29/2022,"Daily Meditation",1204
11/29/2022,"Daily Meditation",611
11/28/2022,"Daily Meditation",1218
11/28/2022,"No Distractions",249
11/28/2022,"Daily Meditation",1218
11/28/2022,"45-Minute Meditation 2",2715
11/28/2022,"Moment",75
11/28/2022,"Moment",87
11/28/2022,"Moment",87
11/28/2022,"Daily Meditation",1218
11/26/2022,"Moment",53
11/26/2022,"Daily Meditation",1201
11/26/2022,"Moment",61
11/25/2022,"Moment",60
11/25/2022,"Daily Meditation",1216
11/24/2022,"Daily Meditation",1219
11/24/2022,"Daily Meditation",1219
11/23/2022,"Daily Meditation",1244
11/23/2022,"Daily Meditation",1202
11/22/2022,"Daily Meditation",1198
11/22/2022,"Refer to Nothing",216
11/22/2022,"Daily Meditation",611
11/22/2022,"Moment",62
11/22/2022,"Moment",62
11/22/2022,"Moment",62
11/22/2022,"The Last Time",277
11/22/2022,"The Cure for Boredom",298
11/21/2022,"Moment",44
11/21/2022,"30-Minute Meditation 7",1816
11/20/2022,"Gratitude",249
11/20/2022,"60-Minute Meditation 3",3638
11/20/2022,"Daily Meditation",1204
11/20/2022,"Daily Meditation",1218
11/20/2022,"Moment",26
